,origIntRate,origUPB,origLTV,origDebtIncRatio,worstCreditScore,zeroBalCode
82747,5.25,86000,80,45,720,0
82748,4.625,381000,67,7,784,0
82749,5.125,176000,80,44,754,0
82750,5.5,112000,80,39,622,0
82751,4.875,138000,24,43,810,0
82752,5.125,238000,84,34,783,0
82753,5.125,136000,80,19,669,0
82754,4.875,230000,80,40,743,0
82755,4.75,164000,80,25,783,0
82756,4.875,105000,65,22,683,0
82757,5.0,244000,70,29,644,0
82758,5.375,572000,27,45,752,0
82759,5.125,250000,80,44,728,0
82760,5.25,152000,84,31,765,0
82761,5.25,130000,70,38,665,0
82762,4.875,357000,57,30,659,0
82763,4.875,93000,80,45,758,0
82764,5.875,216000,80,40,661,0
82765,5.125,198000,80,22,772,0
82766,4.875,35000,44,25,795,0
82767,4.99,281000,74,30,710,0
82769,5.0,291000,90,36,681,0
82770,5.25,204000,80,45,709,1
82771,5.625,148000,80,35,665,0
82772,4.5,98000,95,40,704,0
82773,5.0,249000,69,42,768,0
82774,5.25,348000,80,38,640,0
82775,5.125,150000,8,38,794,0
82776,4.875,55000,50,24,701,0
82777,5.375,406000,89,16,689,0
82778,4.875,73000,70,50,655,0
82779,5.0,390000,64,40,680,0
82780,5.625,73000,79,30,696,0
82781,5.75,86000,75,17,623,1
82782,5.125,552000,80,42,744,0
82783,5.5,35000,28,33,665,0
82784,5.0,272000,80,25,743,0
82785,5.125,110000,80,37,720,0
82787,4.875,99000,65,28,738,0
82788,4.875,73000,83,23,737,0
82789,5.375,131000,90,31,781,0
82790,5.0,125000,65,31,793,0
82791,5.375,89000,73,44,684,0
82792,5.0,307000,90,35,769,1
82793,4.875,58000,80,30,771,0
82794,5.375,194000,80,45,689,0
82795,5.0,160000,85,39,743,0
82796,4.875,68000,34,47,777,0
82797,5.125,82000,66,50,748,0
82798,4.75,330000,83,37,750,0
82799,5.25,47000,20,37,709,0
82800,5.625,159000,75,47,640,0
82801,4.625,94000,80,42,686,0
82802,5.0,55000,43,43,673,0
82803,4.875,417000,65,45,731,0
82804,5.125,255000,80,44,725,0
82805,4.875,150000,80,29,790,0
82806,5.125,323000,95,45,761,0
82807,5.0,179000,57,40,630,0
82808,5.375,95000,62,19,798,0
82809,4.625,144000,69,38,813,0
82810,5.0,258000,75,44,667,0
82811,4.99,136000,53,37,748,0
82812,5.125,180000,74,20,753,0
82813,4.875,267000,72,40,733,0
82814,5.375,68000,68,33,732,0
82815,5.0,56000,78,38,747,0
82816,5.375,245000,70,44,669,0
82817,4.875,330000,50,14,778,0
82818,5.875,166000,72,41,636,0
82819,4.875,417000,63,17,751,0
82820,4.875,130000,38,44,622,0
82821,4.875,230000,75,25,753,0
82822,5.167999999999998,222000,78,40,739,0
82823,4.875,54000,54,34,675,0
82824,4.875,212000,79,30,784,0
82825,4.875,133000,36,40,722,0
82826,4.875,729000,71,49,720,0
82827,5.0,175000,61,30,763,0
82828,5.375,194000,80,44,711,0
82829,4.875,149000,95,35,807,0
82830,5.125,112000,80,42,778,0
82831,5.375,126000,70,39,641,1
82832,4.875,245000,71,41,766,0
82833,5.125,199000,72,41,583,0
82834,5.75,107000,80,41,666,0
82835,5.25,137000,71,40,723,0
82836,5.25,128000,80,44,740,0
82837,5.375,64000,90,45,690,0
82838,5.375,149000,70,47,704,0
82839,5.0,230000,77,43,732,0
82840,5.0,212000,56,45,667,0
82841,5.0,360000,59,50,649,0
82842,4.875,133000,62,38,623,0
82843,5.125,195000,73,46,677,0
82844,5.0,90000,72,45,778,1
82845,4.625,240000,74,26,743,0
82846,5.0,227000,80,38,735,0
82847,4.875,101000,55,20,768,0
82848,5.0,300000,66,24,715,0
82849,4.625,228000,69,31,779,0
82850,5.375,320000,80,32,714,0
82851,5.115,85000,85,16,794,0
82852,5.0,365000,76,40,693,0
82853,5.5,88000,80,36,661,0
82854,5.0,100000,67,30,673,0
82855,5.125,136000,53,39,632,0
82856,5.125,87000,51,32,647,0
82857,5.25,170000,66,39,655,0
82858,4.875,280000,85,38,798,0
82859,4.875,50000,34,27,823,0
82860,4.875,316000,80,45,713,0
82861,4.875,140000,70,48,675,0
82862,4.5,128000,88,38,749,0
82863,4.75,408000,68,38,751,0
82864,4.625,360000,60,44,675,0
82865,5.75,68000,80,22,734,0
82866,5.0,124000,80,36,701,0
82867,4.75,228000,76,45,728,0
82868,5.625,57000,80,44,636,0
82869,5.0,243000,79,41,712,0
82870,5.25,320000,80,23,660,0
82871,5.125,197000,67,39,671,0
82872,5.0,217000,62,47,746,0
82873,4.875,111000,80,24,644,0
82874,4.875,712000,60,11,762,0
82875,5.125,45000,32,31,685,0
82876,5.125,130000,78,43,775,0
82877,4.875,150000,95,33,719,0
82878,4.875,125000,89,45,738,1
82879,4.75,87000,85,24,704,0
82880,4.875,112000,80,37,798,0
82881,5.125,172000,80,46,730,0
82882,4.875,116000,85,34,715,1
82883,5.0,195000,75,30,665,0
82884,4.5,168000,89,29,755,0
82885,4.75,202000,74,35,771,0
82886,5.0,86000,95,41,715,1
82887,4.875,65000,45,27,651,0
82888,4.625,73000,56,23,784,0
82889,4.875,48000,66,22,706,0
82890,4.875,112000,72,40,784,0
82891,5.29,157000,80,44,733,1
82892,4.625,124000,94,43,784,0
82893,5.0,261000,95,37,784,0
82894,4.875,272000,73,32,768,0
82895,4.75,78000,80,45,782,0
82896,4.875,90000,39,46,725,0
82897,5.25,373000,75,41,673,0
82898,5.0,117000,75,32,671,0
82899,4.875,192000,80,21,716,0
82900,5.375,205000,72,44,667,0
82901,4.85,104000,80,34,758,0
82902,4.625,45000,45,35,746,0
82903,5.0,67000,56,18,666,0
82904,4.625,140000,80,43,635,0
82905,4.625,70000,80,30,745,0
82906,4.75,171000,33,40,761,0
82908,4.875,155000,76,39,788,0
82909,4.625,160000,80,23,748,0
82910,5.375,181000,66,44,699,0
82911,5.25,139000,76,27,689,0
82912,5.375,268000,67,37,679,0
82913,4.65,250000,70,43,716,0
82914,4.875,66000,44,19,689,0
82915,4.625,91000,80,33,782,1
82917,4.5,70000,24,18,763,0
82918,4.875,65000,66,26,778,1
82919,4.875,208000,67,40,756,0
82920,4.875,417000,75,15,793,0
82921,4.875,150000,60,36,634,0
82922,4.875,92000,26,45,788,1
82923,4.875,522000,60,21,777,0
82924,5.125,51000,57,37,663,0
82926,5.25,47000,68,37,730,1
82927,4.75,138000,80,36,763,0
82928,4.875,83000,82,40,785,1
82929,5.0,412000,80,32,697,0
82930,5.0,114000,85,36,757,0
82931,5.0,253000,65,45,732,0
82932,5.375,99000,70,39,662,0
82933,4.875,249000,71,37,728,0
82934,5.375,99000,77,27,680,0
82935,4.5,134000,80,31,740,0
82936,4.75,138000,80,34,707,0
82937,5.125,62000,41,20,690,0
82938,5.0,122000,80,43,709,0
82939,4.625,185000,79,44,763,0
82941,4.75,58000,46,25,799,0
82942,4.75,140000,69,32,795,0
82943,4.875,398000,70,45,679,0
82944,4.84,417000,66,46,806,0
82945,4.875,33000,12,43,770,0
82946,4.875,296000,80,17,770,0
82947,4.5,417000,56,44,720,0
82948,5.375,284000,80,40,704,0
82949,5.25,84000,80,32,723,0
82950,5.375,100000,75,43,715,0
82951,5.0,234000,80,45,747,0
82952,5.125,282000,69,41,668,0
82953,4.875,152000,80,34,718,0
82954,5.125,51000,65,28,637,0
82955,4.875,76000,59,31,671,0
82956,4.5,235000,70,25,703,0
82957,4.625,68000,35,10,730,0
82958,5.375,260000,80,35,664,0
82959,5.25,84000,95,34,782,0
82960,5.125,90000,80,38,626,0
82961,4.875,104000,80,28,746,0
82962,5.375,67000,77,33,650,0
82963,4.75,188000,48,15,737,0
82964,5.125,274000,71,31,663,0
82965,4.875,95000,64,40,658,0
82966,5.25,88000,80,39,726,1
82967,4.875,180000,73,40,761,0
82968,4.875,345000,80,33,728,0
82969,4.625,80000,69,45,658,1
82970,5.25,200000,80,38,710,1
82971,4.625,393000,97,33,720,1
82972,4.875,216000,92,35,699,0
82973,4.625,225000,70,34,750,0
82974,4.99,139000,80,40,696,0
82975,4.75,320000,79,45,742,0
82976,4.625,129000,64,45,784,0
82977,5.125,123000,69,41,666,1
82979,4.75,210000,73,17,801,0
82980,4.875,188000,80,44,754,0
82981,4.875,157000,41,43,627,0
82982,4.75,235000,64,38,746,0
82983,4.875,417000,74,46,790,0
82984,4.875,147000,87,42,734,0
82985,5.25,406000,80,37,751,0
82986,4.875,206000,72,43,665,0
82987,5.0,180000,60,41,688,0
82988,4.5,275000,50,25,797,0
82989,5.85,34000,75,45,640,1
82990,5.0,192000,95,43,715,0
82991,4.875,55000,52,36,702,0
82992,5.0,121000,80,28,696,0
82993,5.125,109000,37,38,623,0
82994,4.875,429000,73,29,779,0
82995,4.625,291000,61,49,774,0
82997,5.0,199000,72,34,622,0
82998,4.625,121000,80,38,744,0
82999,4.875,165000,80,33,717,0
83000,5.25,92000,67,45,673,1
83001,5.0,109000,80,44,749,0
83002,4.875,150000,29,39,620,0
83003,4.875,396000,80,21,784,0
83004,4.875,184000,80,30,728,0
83005,4.875,120000,63,23,641,0
83006,4.99,88000,55,44,633,0
83007,4.75,615000,80,37,783,0
83008,4.625,187000,69,44,702,0
83009,5.0,134000,22,18,636,0
83010,4.875,258000,80,37,775,0
83011,5.25,51000,78,42,716,0
83012,4.75,95000,50,34,737,0
83013,4.625,275000,80,39,807,0
83014,4.875,180000,64,25,695,0
83015,4.625,155000,76,24,754,0
83016,5.0,67000,70,39,647,0
83017,5.515,172000,60,39,680,0
83018,5.375,390000,75,37,682,0
83019,4.875,105000,37,44,742,1
83020,4.99,223000,70,36,670,0
83021,4.875,184000,55,34,676,0
83022,4.5,415000,59,22,755,0
83023,4.875,264000,80,43,664,0
83024,4.75,98000,68,31,740,0
83025,5.0,152000,80,44,651,0
83026,5.125,134000,67,45,632,1
83027,4.875,74000,70,42,672,1
83028,4.875,266000,80,31,706,0
83029,4.5,308000,70,41,780,0
83030,5.125,100000,73,37,780,1
83031,5.375,87000,78,35,690,0
83032,4.875,75000,75,19,690,1
83033,5.24,98000,70,22,699,1
83034,4.875,126000,16,46,786,0
83035,5.375,85000,69,39,638,0
83036,4.875,132000,80,45,710,1
83037,5.125,180000,80,38,631,0
83038,4.875,144000,80,32,716,0
83039,5.125,69000,60,32,651,0
83040,5.375,85000,59,26,623,1
83041,4.875,288000,74,44,713,0
83042,4.875,467000,77,42,727,0
83043,5.625,30000,59,45,726,1
83044,5.0,142000,80,23,762,0
83045,5.125,142000,79,40,754,0
83046,4.875,172000,68,39,744,0
83047,4.875,580000,77,33,784,0
83048,4.75,166000,95,36,691,0
83049,5.125,641000,59,38,758,0
83050,4.875,34000,38,43,631,0
83051,5.0,52000,42,40,639,0
83052,4.625,350000,79,40,734,0
83053,4.75,110000,69,40,712,0
83054,4.875,100000,94,40,727,1
83055,4.625,119000,80,25,797,0
83056,4.75,79000,90,27,697,0
83057,4.75,138000,85,38,773,0
83058,5.625,184000,80,40,631,0
83059,5.125,230000,31,45,684,0
83060,4.375,194000,59,44,704,0
83061,4.875,132000,78,42,716,0
83062,4.99,445000,80,35,762,0
83063,5.375,95000,24,41,681,0
83064,5.0,112000,80,39,758,0
83065,4.875,153000,66,45,752,0
83066,5.125,593000,69,45,706,0
83067,4.75,170000,85,39,704,0
83068,5.25,197000,80,41,680,0
83069,5.125,285000,70,33,648,0
83070,5.25,138000,70,40,652,0
83071,4.625,410000,41,34,667,0
83072,4.75,636000,72,24,701,0
83073,4.875,152000,80,33,808,1
83074,4.875,130000,64,42,774,0
83075,4.875,233000,75,49,721,0
83076,5.0,188000,80,11,714,0
83077,4.625,89000,65,43,765,0
83078,5.0,55000,43,26,718,0
83079,4.875,97000,16,33,760,0
83080,5.0,100000,28,38,690,0
83081,4.5,202000,72,38,795,0
83082,4.625,190000,57,32,754,0
83083,4.875,214000,53,21,734,0
83084,4.625,326000,62,39,664,0
83085,4.875,399000,61,20,675,0
83086,5.0,340000,76,43,713,0
83087,4.875,92000,80,34,665,0
83088,4.75,135000,57,19,795,0
83089,4.625,264000,19,30,817,0
83090,5.0,220000,80,37,735,0
83091,4.75,150000,60,32,796,0
83092,5.0,417000,41,41,706,0
83093,4.75,113000,62,48,730,0
83094,4.875,100000,80,42,748,1
83095,4.5,116000,80,34,750,0
83096,5.5,210000,79,34,687,0
83097,4.625,323000,67,31,639,0
83098,5.25,130000,64,34,665,0
83099,4.875,394000,64,36,716,0
83100,5.25,200000,73,42,683,0
83101,5.5,63000,70,36,633,0
83102,4.875,77000,80,45,739,1
83103,5.125,124000,95,34,751,0
83104,5.375,417000,76,29,722,0
83105,4.625,198000,80,19,778,1
83106,5.125,352000,57,31,667,0
83107,4.875,730000,43,49,770,0
83108,4.625,156000,80,40,769,1
83109,4.97,132000,38,47,708,0
83110,4.75,208000,68,36,756,0
83111,4.99,159000,70,26,734,0
83112,4.5,300000,43,44,767,0
83113,4.98,231000,60,39,664,0
83114,4.875,194000,77,38,712,0
83115,4.625,325000,41,22,799,0
83116,4.875,151000,70,44,688,0
83117,4.875,131000,80,36,750,0
83118,4.625,384000,61,45,657,0
83119,4.99,115000,72,32,696,0
83120,4.5,215000,45,39,771,0
83121,4.875,119000,88,41,771,1
83122,4.99,225000,95,41,738,1
83123,5.0,54000,39,43,678,0
83124,5.375,84000,80,39,774,0
83125,4.625,115000,90,21,734,0
83126,4.625,310000,50,44,725,0
83127,4.375,274000,25,43,706,0
83128,4.875,75000,59,39,773,1
83129,4.625,98000,64,32,764,1
83130,4.875,702000,74,44,753,0
83131,4.5,81000,76,26,780,1
83132,4.875,96000,80,22,718,1
83133,5.25,158000,84,38,722,0
83134,4.875,85000,63,39,698,1
83135,4.5,112000,80,35,723,0
83136,4.875,235000,70,40,669,0
83137,5.25,82000,80,36,772,0
83138,4.49,220000,53,20,792,0
83139,4.875,149000,79,45,776,0
83140,4.625,127000,57,40,803,1
83141,5.625,144000,78,39,656,1
83142,5.25,235000,75,35,654,0
83143,5.375,102000,54,33,793,0
83144,4.875,176000,90,40,722,0
83145,4.75,101000,88,41,769,1
83146,4.75,487000,58,44,677,0
83147,5.125,153000,61,39,649,0
83148,5.375,116000,80,32,671,1
83149,5.0,123000,80,43,674,1
83150,5.0,110000,75,42,658,0
83151,4.625,152000,50,32,746,0
83152,4.883,438000,80,40,727,0
83153,4.875,113000,69,26,655,0
83154,4.875,135000,65,34,729,0
83155,4.75,147000,50,24,789,0
83156,4.625,110000,72,31,741,0
83157,4.75,417000,80,27,753,0
83158,4.75,250000,72,37,714,0
83159,5.14,168000,90,25,730,0
83160,5.125,134000,71,37,745,0
83161,4.625,252000,52,24,737,0
83162,4.99,87000,89,30,682,0
83163,4.75,105000,75,43,773,0
83164,5.125,163000,89,40,710,0
83165,5.25,93000,80,39,691,0
83166,4.625,393000,79,40,772,1
83167,5.125,262000,69,45,701,0
83168,5.25,135000,77,36,643,1
83169,4.75,148000,65,44,768,0
83170,5.125,208000,75,39,669,0
83171,4.875,205000,78,36,786,1
83172,4.75,187000,75,40,746,1
83173,4.99,184000,89,38,695,1
83174,5.75,54000,95,30,679,1
83175,4.625,128000,61,41,747,1
83176,5.0,130000,74,36,634,0
83177,4.625,195000,94,27,793,1
83178,5.625,300000,80,44,702,0
83179,6.25,268000,80,40,625,0
83180,5.0,367000,69,36,703,0
83181,4.625,317000,63,44,729,1
83182,5.375,172000,77,34,660,0
83183,4.875,417000,78,42,731,0
83184,5.375,417000,70,45,667,0
83185,4.875,144000,76,32,762,1
83186,5.5,196000,79,24,666,0
83187,4.875,168000,80,43,721,0
83188,4.125,286000,88,37,770,0
83189,4.875,205000,49,40,718,0
83190,4.75,163000,79,33,703,0
83191,5.5,355000,71,28,654,0
83192,4.75,175000,93,45,781,0
83193,5.0,348000,78,41,713,0
83194,4.75,632000,55,36,708,0
83195,4.75,198000,80,45,751,0
83196,4.5,400000,75,34,778,0
83197,4.625,411000,31,25,795,0
83198,4.875,111000,89,40,719,0
83199,5.0,56000,38,32,662,0
83200,5.125,331000,75,31,689,0
83201,4.875,580000,80,38,725,0
83202,4.875,400000,79,43,754,0
83203,4.75,666000,74,39,806,0
83204,4.5,213000,67,15,750,0
83205,4.375,109000,72,43,731,0
83206,4.625,696000,80,39,751,0
83207,4.875,108000,80,43,725,0
83208,5.0,70000,49,40,752,0
83209,4.836,83000,80,24,822,1
83210,4.875,398000,54,40,669,0
83211,5.25,330000,51,38,709,0
83212,5.25,85000,70,37,706,0
83213,4.5,183000,67,32,722,0
83214,4.875,98000,75,27,662,0
83215,5.625,110000,80,43,639,0
83216,5.0,174000,85,38,733,1
83217,5.25,76000,80,27,707,1
83218,4.375,363000,54,41,761,0
83219,4.875,148000,80,36,730,0
83220,4.75,60000,67,19,820,0
83221,4.95,132000,64,36,702,0
83222,4.75,103000,60,35,776,0
83223,4.875,124000,92,26,737,0
83224,5.09,183000,70,33,704,0
83225,5.375,157000,73,45,666,0
83226,4.875,100000,59,33,639,0
83227,5.375,144000,80,41,682,0
83228,4.99,278000,59,31,710,0
83229,5.625,231000,80,30,689,0
83230,4.875,187000,49,19,661,0
83231,4.625,58000,80,37,710,1
83232,5.0,229000,75,30,674,0
83233,4.875,680000,68,37,718,0
83234,4.875,129000,66,37,713,0
83235,5.0,134000,80,24,659,0
83236,5.375,61000,72,27,665,0
83237,4.625,279000,77,45,750,0
83238,4.875,455000,61,35,799,0
83239,4.95,142000,80,20,759,0
83240,5.0,70000,80,40,759,0
83241,5.125,344000,60,35,630,0
83242,4.875,150000,53,41,761,0
83243,4.75,112000,42,21,719,0
83244,4.75,243000,49,43,776,0
83245,5.0,159000,51,44,689,0
83246,5.125,112000,80,42,720,1
83247,5.125,325000,80,45,691,0
83248,4.625,417000,38,41,695,0
83249,4.75,413000,79,40,810,0
83250,4.5,417000,49,44,736,0
83251,4.75,120000,23,35,767,0
83252,5.0,154000,84,18,764,0
83253,5.0,384000,80,35,729,0
83254,5.0,275000,85,39,783,0
83255,5.0,175000,54,40,637,0
83256,4.5,414000,76,40,771,0
83257,4.5,289000,71,37,803,0
83258,4.875,162000,80,43,801,0
83259,4.625,100000,55,45,696,0
83260,5.0,70000,68,28,699,0
83261,4.875,102000,80,44,739,0
83262,4.625,417000,56,45,701,0
83263,5.25,288000,80,45,682,0
83264,4.875,100000,46,46,790,0
83265,4.75,77000,27,48,705,0
83266,4.875,154000,80,18,800,0
83267,4.5,580000,80,44,811,0
83268,5.0,108000,80,18,734,0
83269,5.25,270000,66,24,707,0
83270,4.75,270000,60,31,666,0
83271,5.375,130000,62,40,693,0
83272,5.75,176000,80,42,683,0
83273,4.875,89000,72,34,628,0
83274,5.125,116000,53,45,667,0
83275,5.0,716000,42,49,751,0
83276,4.875,55000,34,25,644,0
83277,4.75,367000,90,26,705,0
83278,4.875,165000,72,25,660,0
83279,4.625,266000,27,48,710,0
83280,5.0,124000,95,39,757,1
83281,4.5,169000,57,38,684,0
83282,5.0,182000,76,45,672,0
83283,5.125,127000,79,29,699,0
83284,5.125,77000,80,33,691,1
83285,4.875,156000,80,28,701,1
83286,4.875,88000,80,24,754,0
83287,4.875,207000,73,33,643,0
83288,5.125,78000,80,42,736,1
83289,5.125,55000,71,31,704,0
83290,4.875,165000,75,42,720,0
83291,4.5,390000,60,43,729,0
83292,4.875,460000,76,45,732,0
83293,4.875,135000,70,41,699,0
83294,4.5,335000,65,47,778,0
83295,4.625,210000,52,32,779,0
83296,5.0,118000,70,36,765,0
83297,4.875,125000,72,30,678,0
83298,4.75,417000,45,42,672,0
83299,4.875,91000,48,46,796,0
83300,5.25,70000,61,38,739,0
83301,4.99,154000,70,44,635,0
83302,4.77,87000,42,31,676,0
83303,5.0,196000,80,39,756,0
83304,4.625,300000,73,37,736,0
83305,4.75,76000,57,43,732,0
83306,4.625,70000,80,39,814,0
83307,4.75,98000,80,38,718,0
83308,4.875,175000,44,44,750,0
83309,4.99,136000,80,21,781,1
83311,4.875,85000,63,34,764,1
83312,4.25,125000,34,45,725,0
83313,4.75,81000,40,22,804,0
83314,4.75,205000,85,35,713,0
83316,4.5,417000,64,29,776,0
83317,5.0,64000,57,28,663,0
83318,4.875,61000,80,17,704,0
83319,5.0,94000,85,40,786,0
83320,4.95,114000,70,44,656,0
83321,5.125,162000,95,45,726,0
83322,4.625,128000,56,47,777,0
83323,5.0,141000,66,45,761,1
83324,4.875,356000,80,22,750,0
83325,4.625,328000,80,33,728,0
83327,5.0,514000,80,37,722,0
83328,5.0,80000,69,43,748,0
83329,4.5,393000,72,26,767,0
83330,4.75,133000,74,45,784,0
83331,4.875,152000,80,35,703,0
83332,5.375,288000,80,44,675,1
83333,4.99,374000,80,41,784,0
83334,5.5,247000,80,34,666,1
83335,5.375,88000,90,28,790,1
83336,5.125,310000,80,38,736,0
83337,4.75,191000,74,36,687,0
83338,4.875,178000,79,20,703,0
83339,4.875,74000,40,45,797,0
83340,5.375,371000,78,44,648,0
83341,4.99,119000,94,45,690,0
83342,4.75,225000,79,44,709,0
83343,4.875,91000,59,38,762,0
83344,4.625,417000,75,41,725,0
83345,5.125,341000,79,43,655,0
83346,5.25,440000,80,45,729,0
83347,5.0,86000,80,45,689,0
83348,4.75,166000,56,28,751,0
83349,4.875,145000,60,32,648,0
83350,4.75,45000,73,15,811,1
83351,4.875,417000,44,23,712,0
83352,5.0,164000,78,22,717,0
83353,5.5,60000,23,36,660,0
83354,5.08,139000,14,49,722,0
83355,4.875,415000,70,47,753,0
83356,4.875,417000,63,46,707,0
83357,4.875,222000,80,41,802,0
83358,5.5,300000,75,47,685,0
83359,4.5,417000,75,22,773,0
83360,5.375,146000,80,32,662,0
83361,5.79,184000,75,31,630,0
83362,5.375,39000,61,27,650,0
83363,4.875,95000,60,43,736,0
83364,4.875,125000,80,43,769,0
83365,4.625,155000,33,18,718,0
83366,5.75,92000,80,45,653,1
83367,4.75,136000,85,44,775,0
83368,4.625,417000,28,42,695,0
83369,4.875,220000,78,40,710,0
83370,4.75,176000,80,40,711,0
83371,4.875,142000,65,15,712,0
83372,4.999,80000,62,40,774,0
83373,4.75,402000,31,32,793,0
83374,4.875,110000,79,36,740,0
83375,5.375,217000,70,37,658,0
83376,4.75,98000,80,28,747,0
83377,5.25,93000,80,39,624,0
83378,4.875,110000,21,44,656,0
83379,4.75,254000,59,30,633,1
83380,4.875,275000,79,43,784,0
83381,4.625,41000,25,35,794,0
83382,4.625,345000,60,39,682,0
83383,5.25,152000,80,41,738,0
83384,4.875,128000,76,25,697,0
83385,5.125,96000,80,33,799,0
83387,5.125,240000,52,43,683,0
83388,5.0,113000,63,44,754,1
83389,5.375,417000,79,28,711,0
83390,5.0,158000,73,39,685,0
83391,4.94,74000,70,16,779,0
83392,4.75,75000,50,35,810,0
83393,5.25,101000,78,45,673,1
83394,4.625,690000,72,46,753,0
83395,5.0,88000,32,44,791,0
83396,4.625,148000,76,14,783,0
83397,5.375,384000,75,41,638,0
83398,4.75,416000,80,37,761,0
83399,5.0,364000,80,43,679,0
83400,4.875,130000,72,43,732,0
83401,5.125,120000,80,39,730,0
83402,5.0,100000,69,42,690,0
83403,4.875,91000,96,44,702,0
83404,4.75,104000,28,39,756,0
83405,5.25,204000,80,43,724,0
83406,5.2,123000,67,49,738,0
83407,5.25,152000,80,42,649,1
83408,4.625,276000,46,33,707,0
83409,4.75,193000,90,32,760,0
83411,4.625,189000,66,14,802,0
83413,4.875,135000,90,21,707,0
83414,5.25,112000,70,31,688,0
83415,4.875,179000,77,41,766,0
83416,4.875,94000,80,26,733,1
83417,5.25,118000,80,40,668,0
83418,5.375,323000,95,45,711,1
83419,4.875,223000,80,33,757,0
83420,4.875,89000,85,28,669,1
83421,5.0,223000,64,38,740,0
83422,5.125,77000,85,22,789,0
83423,5.29,53000,33,32,638,0
83424,4.875,225000,62,43,759,1
83425,4.75,240000,73,44,772,0
83426,4.875,300000,78,15,788,0
83427,4.875,213000,85,39,778,1
83428,4.75,320000,78,17,812,0
83429,4.75,155000,95,26,743,0
83430,4.75,219000,47,32,683,0
83431,4.98,136000,41,25,787,0
83432,5.125,49000,75,31,679,1
83433,5.5,81000,75,29,638,0
83434,5.0,337000,80,25,696,0
83435,4.875,185000,57,42,659,0
83436,4.75,278000,75,32,762,0
83437,4.5,350000,55,50,719,0
83438,4.625,187000,86,41,791,0
83439,5.0,98000,67,31,701,1
83440,5.125,255000,78,23,774,0
83441,4.875,180000,50,23,674,0
83442,5.5,197000,71,44,640,0
83443,4.875,165000,75,41,661,0
83444,4.875,417000,44,43,719,0
83445,4.875,340000,91,41,764,1
83446,5.0,174000,73,44,660,0
83447,5.125,520000,80,44,721,0
83448,5.125,242000,80,33,746,0
83449,4.875,85000,94,33,729,0
83450,4.875,196000,74,42,753,0
83451,4.875,184000,92,27,705,0
83452,5.125,172000,72,26,681,0
83453,4.5,417000,64,44,744,0
83454,4.625,173000,78,43,752,1
83455,5.0,302000,85,42,721,0
83456,4.75,385000,97,30,755,1
83457,4.99,87000,78,17,693,0
83458,4.875,47000,50,45,723,1
83459,4.625,104000,80,39,717,0
83460,5.25,310000,79,44,705,0
83461,4.625,60000,71,34,821,0
83462,5.0,99000,40,32,759,0
83463,4.875,80000,46,45,656,0
83464,4.5,125000,72,37,724,1
83465,4.75,372000,80,32,755,0
83466,4.86,195000,68,29,792,0
83467,4.875,205000,68,40,744,0
83468,4.5,184000,77,43,753,0
83470,4.875,104000,80,43,679,0
83471,5.5,93000,70,14,767,0
83472,5.25,56000,80,27,686,0
83473,4.625,180000,60,42,674,0
83474,4.875,580000,60,45,701,0
83475,4.875,275000,41,43,688,0
83476,4.875,123000,70,31,726,0
83477,4.625,152000,57,43,629,0
83478,4.5,140000,79,22,788,0
83479,5.0,272000,80,26,665,0
83480,4.875,417000,67,43,797,0
83481,4.875,184000,76,35,708,0
83482,4.875,166000,80,43,708,0
83483,5.125,59000,59,26,667,0
83484,4.978,136000,64,38,711,1
83485,4.625,124000,62,44,739,0
83486,4.5,226000,74,45,743,1
83487,4.75,256000,43,45,640,0
83488,5.375,88000,80,29,620,0
83489,5.0,176000,75,49,705,0
83490,4.625,148000,78,35,667,0
83491,4.875,152000,78,43,705,0
83492,5.375,280000,80,36,622,0
83493,5.125,105000,60,34,706,0
83494,4.75,84000,79,41,649,0
83495,4.884,601000,70,19,733,0
83497,4.99,210000,36,32,641,1
83498,5.0,84000,71,27,748,0
83499,5.125,74000,80,31,747,1
83500,5.375,183000,70,43,800,0
83501,5.0,417000,69,43,700,0
83502,5.34,77000,80,43,681,0
83503,4.75,277000,77,39,802,0
83504,4.75,261000,90,41,707,0
83505,4.875,148000,80,41,725,0
83506,4.875,202000,54,15,749,0
83507,5.125,105000,60,35,649,0
83508,5.125,93000,80,42,683,0
83509,4.875,263000,75,50,761,0
83510,4.75,255000,75,38,772,0
83511,5.375,310000,73,44,642,0
83512,4.875,190000,66,43,706,1
83513,5.5,79000,77,31,646,0
83514,5.0,180000,80,23,703,0
83515,4.99,102000,80,23,710,0
83516,5.0,136000,80,36,799,0
83517,5.25,114000,64,37,636,0
83518,4.875,81000,71,45,764,1
83519,4.75,110000,64,44,703,0
83520,4.875,145000,33,42,793,0
83521,5.5,380000,80,41,629,0
83522,4.875,103000,46,24,721,0
83523,4.875,153000,88,24,752,0
83524,4.875,94000,65,38,812,0
83525,5.5,169000,75,23,630,0
83526,5.25,191000,75,29,679,0
83527,5.0,183000,69,45,665,0
83528,4.75,562000,74,33,730,0
83529,5.5,114000,80,44,659,0
83531,4.75,148000,77,38,804,0
83532,5.0,130000,80,42,795,0
83533,5.17,105000,70,43,637,0
83534,5.0,149000,85,41,780,0
83535,4.875,142000,85,42,756,1
83536,4.875,213000,78,38,733,1
83537,5.375,378000,80,32,693,1
83538,4.625,141000,41,41,682,0
